width: 600; height: 400
initialCount: 312, energy: 500, r: 1, growthRate: 0.1
initialCount: 50, energy: 500, metabolism: 1, reproductionThreshold: 1000, size: 9, speed: 0.2, type: Bloop2
Time	Food	Creatures	MeanSize	MinSize	MaxSize
1981200	90	32	170.5625	166	174
1981300	91	35	170.45714285714286	166	174
1981400	92	36	170.36111111111111	166	174
1981500	94	35	170.4	166	174
1981600	102	30	170.26666666666668	166	174
1981700	105	29	170.20689655172413	166	174
1981800	109	31	170.09677419354838	166	174
1981900	118	21	170	166	174
1982000	123	23	170.1304347826087	166	174
1982100	125	27	170.14814814814815	166	174
1982200	128	29	170.24137931034483	166	174
1982300	129	35	169.94285714285715	165	175
1982400	126	39	169.89743589743588	165	175
1982500	116	51	170.33333333333334	165	175
1982600	122	51	170.3921568627451	165	175
1982700	109	56	170.58928571428572	165	175
1982800	107	60	170.95	166	175
1982900	97	64	171.109375	166	175
1983000	94	68	171.10294117647058	166	175
1983100	95	69	171.17391304347825	166	175
1983200	97	73	171.06849315068493	166	175
1983300	94	79	171.16455696202533	166	175
1983400	89	77	171.05194805194805	166	175
1983500	78	82	171.17073170731706	166	175
1983600	72	94	171.14893617021278	166	175
1983700	67	96	171.09375	166	175
1983800	65	87	171.13793103448276	166	175
1983900	63	84	171.10714285714286	166	175
1984000	59	81	170.96296296296296	165	175
1984100	53	75	170.98666666666668	165	175
1984200	53	75	170.94666666666666	165	175
1984300	55	66	171.21212121212122	165	175
1984400	53	68	171.2941176470588	165	175
1984500	52	63	171.22222222222223	165	175
1984600	53	59	171.33898305084745	165	175
1984700	60	56	171.42857142857142	166	175
1984800	64	54	171.38888888888889	166	175
1984900	66	52	171.21153846153845	166	175
1985000	59	56	171.23214285714286	166	175
1985100	61	56	171.23214285714286	166	175
1985200	64	55	171.16363636363636	166	175
1985300	63	58	171.25862068965517	166	175
1985400	65	59	171.45762711864407	166	176
1985500	67	57	171.4561403508772	166	176
1985600	69	57	171.10526315789474	166	176
1985700	70	54	171.14814814814815	166	176
1985800	63	52	170.94230769230768	166	176
1985900	70	48	170.83333333333334	166	176
1986000	72	42	170.64285714285714	166	176
1986100	73	39	170.82051282051282	166	176
1986200	81	37	170.7027027027027	166	176
1986300	84	43	170.5581395348837	166	176
1986400	83	43	170.51162790697674	166	175
1986500	81	45	170.53333333333333	166	175
1986600	89	46	170.58695652173913	166	175
1986700	96	48	170.75	166	175
1986800	95	46	170.65217391304347	166	175
1986900	95	44	171.0909090909091	166	175
1987000	96	43	170.69767441860466	166	174
1987100	99	47	170.72340425531914	166	174
1987200	96	44	170.9318181818182	168	174
1987300	95	47	170.7872340425532	168	174
1987400	93	51	170.8235294117647	168	175
1987500	93	53	170.83018867924528	168	175
1987600	90	52	170.84615384615384	168	175
1987700	92	55	170.72727272727272	168	175
1987800	96	60	170.93333333333334	168	175
1987900	88	66	170.84848484848484	167	175
1988000	86	59	170.59322033898306	167	175
1988100	86	64	170.59375	167	175
1988200	82	67	170.56716417910448	167	175
1988300	74	65	170.2153846153846	167	174
1988400	69	67	170.19402985074626	167	174
1988500	70	66	170.36363636363637	167	175
1988600	71	67	170.4179104477612	167	175
1988700	74	65	170.41538461538462	167	175
1988800	72	66	170.36363636363637	166	175
1988900	73	63	170.46031746031747	166	175
1989000	76	59	170.35593220338984	166	175
1989100	79	60	170.15	166	175
1989200	70	59	170.0677966101695	166	175
1989300	67	57	169.96491228070175	167	174
1989400	70	57	169.98245614035088	167	174
1989500	72	60	169.75	167	174
1989600	71	64	169.578125	166	174
1989700	62	64	169.546875	166	174
1989800	65	69	169.57971014492753	166	174
