width: 600; height: 400
initialCount: 312, energy: 500, r: 1, growthRate: 0.1
initialCount: 50, energy: 500, metabolism: 1, reproductionThreshold: 1000, size: 9, speed: 0.2, type: Bloop2
Time	Food	Creatures	MeanSize
162100	258	73	10.575342465753424
162200	259	72	10.569444444444445
162300	261	74	10.513513513513514
162400	251	77	10.61038961038961
162500	250	76	10.526315789473685
162600	241	79	10.50632911392405
162700	233	74	10.716216216216216
162800	233	72	10.708333333333334
162900	231	79	10.746835443037975
163000	226	82	10.695121951219512
163100	223	82	10.792682926829269
163200	213	81	10.938271604938272
163300	209	83	10.867469879518072
163400	208	78	10.987179487179487
163500	203	68	10.955882352941176
163600	205	62	11.03225806451613
163700	207	59	11.016949152542374
163800	205	51	11.176470588235293
163900	198	51	10.882352941176471
164000	195	52	10.942307692307692
164100	198	48	11.041666666666666
164200	207	43	10.790697674418604
164300	213	40	10.45
164400	226	35	10.457142857142857
164500	225	33	10.333333333333334
164600	232	31	10.193548387096774
164700	238	31	10.03225806451613
164800	245	33	9.878787878787879
164900	254	34	9.941176470588236
165000	260	32	10.09375
165100	264	34	9.970588235294118
165200	268	31	9.741935483870968
165300	271	33	9.878787878787879
165400	276	31	9.96774193548387
165500	281	30	10.266666666666667
165600	283	31	10.35483870967742
165700	284	30	10.466666666666667
165800	290	30	10.566666666666666
165900	297	30	10.666666666666666
166000	302	32	10.71875
166100	312	32	10.5
166200	310	33	10.545454545454545
166300	309	34	10.558823529411764
166400	316	34	10.441176470588236
166500	322	37	10.35135135135135
166600	328	37	10.35135135135135
166700	335	34	10.352941176470589
166800	333	40	10.475
166900	331	38	10.342105263157896
167000	338	41	10.24390243902439
167100	340	43	10.116279069767442
167200	340	47	9.893617021276595
167300	336	50	9.36
167400	329	60	9.466666666666667
167500	319	60	9.583333333333334
167600	316	63	9.619047619047619
167700	316	75	9.84
167800	307	73	9.917808219178083
167900	307	67	9.940298507462687
168000	299	69	10.115942028985508
168100	293	67	10.238805970149254
168200	295	62	10.435483870967742
168300	297	55	10.2
168400	294	56	10.107142857142858
168500	292	51	10.156862745098039
168600	282	56	10.107142857142858
168700	276	62	10.193548387096774
168800	273	62	9.983870967741936
168900	274	63	10.26984126984127
169000	261	69	10.18840579710145
169100	254	74	10.175675675675675
169200	249	69	10.217391304347826
169300	249	70	10.214285714285714
169400	251	68	10.161764705882353
169500	252	62	10.096774193548388
169600	253	63	10.142857142857142
169700	247	60	9.883333333333333
169800	252	56	9.928571428571429
169900	249	50	10.16
170000	250	53	10.245283018867925
170100	248	54	10.24074074074074
170200	244	54	10.685185185185185
170300	244	57	10.719298245614034
170400	242	62	10.774193548387096
170500	238	63	10.73015873015873
170600	240	66	10.742424242424242
170700	239	63	10.73015873015873
170800	245	55	10.872727272727273
170900	250	52	10.98076923076923
171000	255	54	10.925925925925926
171100	263	52	11.173076923076923
171200	263	52	11.423076923076923
171300	264	51	11.431372549019608
171400	267	53	11.30188679245283
171500	263	53	11.245283018867925
171600	268	51	11.176470588235293
171700	276	49	11.142857142857142
171800	279	40	11.15
171900	289	39	11.41025641025641
172000	284	43	11.325581395348838
172100	285	40	11.25
172200	281	40	11.25
172300	282	44	11.136363636363637
172400	286	46	11.282608695652174
172500	277	47	11.340425531914894
172600	280	47	11.27659574468085
172700	276	52	11.192307692307692
172800	273	55	11.181818181818182
172900	273	55	11.254545454545454
173000	273	52	11.25
173100	270	46	11.23913043478261
173200	270	48	11.208333333333334
173300	273	42	11.476190476190476
173400	268	45	11.355555555555556
173500	264	47	11.297872340425531
173600	269	50	11.4
173700	270	47	11.425531914893616
173800	268	51	11.411764705882353
173900	271	52	11.423076923076923
174000	273	53	11.471698113207546
174100	273	50	11.42
174200	276	49	11.326530612244898
174300	277	45	11.311111111111112
174400	281	43	11.279069767441861
174500	282	50	11.14
174600	283	49	11.061224489795919
174700	281	45	10.911111111111111
174800	281	49	11.081632653061224
174900	278	54	11.148148148148149
175000	274	54	11.277777777777779
175100	270	46	11.347826086956522
175200	276	48	11.3125
175300	276	48	11.3125
175400	281	45	11.333333333333334
175500	286	49	11.346938775510203
175600	273	57	11.280701754385966
175700	277	58	11.258620689655173
175800	281	57	11.31578947368421
175900	285	53	11.264150943396226
176000	282	59	11.271186440677965
176100	282	53	11.339622641509434
176200	280	56	11.482142857142858
176300	280	55	11.654545454545454
176400	284	50	11.62
176500	286	55	11.636363636363637
176600	285	57	11.508771929824562
176700	284	60	11.366666666666667
176800	283	57	11.31578947368421
176900	279	63	11.26984126984127
177000	281	63	11.34920634920635
177100	279	64	11.328125
177200	273	63	11.238095238095237
177300	266	64	11.21875
177400	266	65	11.246153846153845
177500	266	63	11.238095238095237
177600	259	61	11.327868852459016
177700	260	62	11.241935483870968
177800	261	58	11.362068965517242
177900	258	61	11.39344262295082
178000	261	55	11.290909090909091
178100	257	53	11.18867924528302
178200	259	50	11.2
178300	257	53	11.18867924528302
178400	257	57	11.210526315789474
178500	259	60	11.2
178600	257	60	11.116666666666667
178700	247	60	10.983333333333333
178800	251	63	10.920634920634921
178900	247	60	10.95
179000	246	60	10.95
179100	248	60	10.916666666666666
179200	256	55	11.054545454545455
179300	264	56	11.035714285714286
179400	263	53	11.075471698113208
179500	255	57	11.175438596491228
179600	253	58	11.086206896551724
179700	262	57	11.157894736842104
179800	265	60	11.233333333333333
179900	256	66	11.333333333333334
180000	248	70	11.342857142857143
180100	249	71	11.295774647887324
180200	248	67	11.567164179104477
180300	244	68	11.544117647058824
180400	254	64	11.359375
180500	253	61	11.180327868852459
180600	252	62	11.03225806451613
180700	248	60	11.016666666666667
180800	246	56	11.089285714285714
180900	253	55	10.963636363636363
181000	258	51	10.901960784313726
181100	265	45	11.088888888888889
181200	269	45	11.066666666666666
181300	275	45	11.066666666666666
181400	276	41	11.146341463414634
181500	284	34	11.058823529411764
181600	281	37	11.054054054054054
181700	290	36	11.11111111111111
181800	290	36	11.11111111111111
181900	292	36	11.277777777777779
182000	295	37	11.108108108108109
182100	300	33	11.030303030303031
182200	304	36	11.055555555555555
182300	304	39	11.076923076923077
182400	302	45	11
182500	308	49	10.877551020408163
182600	303	50	10.8
182700	301	45	10.622222222222222
182800	301	44	10.545454545454545
182900	307	48	10.520833333333334
183000	311	48	10.5
183100	309	49	10.408163265306122
183200	306	51	10.470588235294118
183300	305	55	10.581818181818182
183400	302	57	10.614035087719298
183500	305	54	10.574074074074074
183600	301	53	10.60377358490566
183700	298	59	10.59322033898305
183800	301	58	10.655172413793103
183900	303	55	10.49090909090909
184000	303	54	10.648148148148149
184100	305	55	10.636363636363637
184200	308	57	10.68421052631579
184300	303	50	10.78
184400	313	48	10.75
184500	316	47	10.787234042553191
184600	323	49	10.795918367346939
184700	330	48	10.854166666666666
184800	324	49	10.918367346938776
184900	321	55	10.945454545454545
185000	312	55	10.981818181818182
185100	301	63	11.11111111111111
185200	308	65	10.96923076923077
185300	307	67	11
185400	303	70	10.971428571428572
185500	296	68	11
185600	302	70	10.842857142857143
185700	298	66	10.909090909090908
185800	294	71	10.929577464788732
185900	285	80	10.95
186000	270	79	10.860759493670885
186100	278	76	10.776315789473685
186200	278	82	10.71951219512195
186300	272	84	10.678571428571429
186400	267	77	10.61038961038961
186500	260	77	10.623376623376624
186600	255	81	10.567901234567902
186700	251	76	10.592105263157896
186800	262	74	10.567567567567568
186900	253	74	10.635135135135135
187000	261	66	10.803030303030303
187100	264	61	10.868852459016393
187200	266	59	10.966101694915254
187300	257	66	10.924242424242424
187400	251	69	10.855072463768115
187500	253	66	10.818181818181818
187600	251	65	10.76923076923077
187700	246	64	10.78125
187800	249	62	10.741935483870968
187900	236	68	10.75
188000	241	69	10.840579710144928
188100	246	68	10.911764705882353
188200	248	65	10.96923076923077
188300	257	64	10.9375
188400	255	62	10.903225806451612
188500	250	58	10.758620689655173
188600	247	54	10.74074074074074
188700	244	58	10.862068965517242
188800	241	64	10.625
188900	251	58	10.672413793103448
189000	254	56	10.446428571428571
189100	247	65	10.553846153846154
189200	247	63	10.619047619047619
189300	248	63	10.88888888888889
189400	248	63	10.88888888888889
189500	244	68	10.926470588235293
189600	235	69	10.971014492753623
189700	238	66	11.030303030303031
189800	243	61	10.967213114754099
189900	244	59	10.966101694915254
190000	248	56	10.964285714285714
190100	255	50	11.16
190200	257	44	11.068181818181818
190300	254	47	11.23404255319149
190400	254	49	11.244897959183673
190500	255	49	11.285714285714286
190600	261	47	11.170212765957446
190700	263	49	11.081632653061224
190800	266	47	11
190900	265	42	10.904761904761905
191000	272	39	11.051282051282051
191100	281	36	10.916666666666666
191200	284	33	10.727272727272727
191300	287	31	10.612903225806452
191400	293	28	10.642857142857142
191500	305	27	10.592592592592593
191600	317	28	10.607142857142858
191700	323	26	10.73076923076923
191800	327	26	10.538461538461538
191900	329	27	10.444444444444445
192000	338	26	10.346153846153847
192100	340	28	10.607142857142858
192200	339	33	10.424242424242424
192300	341	31	10.35483870967742
192400	342	33	10.545454545454545
192500	348	32	10.5625
192600	351	31	10.548387096774194
192700	346	31	10.67741935483871
192800	349	29	10.586206896551724
192900	346	33	10.787878787878787
193000	347	32	10.75
193100	361	31	10.806451612903226
193200	364	34	10.382352941176471
193300	365	34	10.323529411764707
193400	360	38	10.394736842105264
193500	372	40	10.125
193600	374	44	9.954545454545455
193700	372	47	10
193800	379	52	9.942307692307692
193900	382	48	9.604166666666666
194000	380	48	9.479166666666666
194100	382	50	9.52
194200	385	52	9.596153846153847
194300	388	48	9.479166666666666
194400	389	44	9.477272727272727
194500	384	49	9.612244897959183
194600	378	55	9.618181818181819
194700	382	54	9.796296296296296
194800	373	61	9.80327868852459
194900	375	63	9.857142857142858
195000	356	74	10.08108108108108
195100	358	75	10.226666666666667
195200	358	79	10.265822784810126
195300	355	83	10.349397590361447
195400	345	89	10.370786516853933
195500	334	90	10.222222222222221
195600	325	93	10.086021505376344
195700	318	99	10.121212121212121
195800	314	103	10.116504854368932
195900	316	103	10.03883495145631
196000	311	99	10.080808080808081
196100	296	103	10.029126213592233
196200	278	99	10.04040404040404
196300	270	95	10.031578947368422
196400	259	100	9.99
196500	252	103	10
196600	252	107	9.869158878504672
196700	241	109	9.853211009174313
196800	228	107	9.822429906542055
196900	223	99	9.929292929292929
197000	222	97	9.835051546391753
197100	217	91	9.725274725274724
197200	218	91	9.68131868131868
197300	227	83	9.590361445783133
197400	226	80	9.6875
197500	230	65	9.692307692307692
197600	231	55	9.654545454545454
197700	233	49	10.020408163265307
197800	241	42	10.047619047619047
197900	240	43	10.093023255813954
198000	244	39	10.307692307692308
198100	243	39	10.23076923076923
198200	255	39	10.076923076923077
198300	254	35	9.942857142857143
198400	259	33	9.909090909090908
198500	261	33	9.969696969696969
198600	268	33	10.151515151515152
198700	273	31	10.35483870967742
198800	289	27	10.555555555555555
198900	291	23	10.652173913043478
199000	299	21	10.476190476190476
199100	312	22	10.545454545454545
199200	320	21	10.380952380952381
199300	334	21	10.333333333333334
199400	335	22	10.136363636363637
199500	336	21	10.142857142857142
199600	333	23	10.26086956521739
199700	341	23	10.26086956521739
199800	338	29	9.96551724137931
199900	338	32	9.84375
200000	340	33	9.606060606060606
200100	348	31	9.193548387096774
200200	351	37	9.378378378378379
200300	354	39	9.435897435897436
200400	363	38	9.368421052631579
200500	361	44	9.204545454545455
200600	357	50	9.14
200700	350	54	9.425925925925926
200800	352	54	9.444444444444445
200900	345	58	9.448275862068966
