width: 600; height: 400
initialCount: 312, energy: 500, r: 1, growthRate: 0.1
initialCount: 50, energy: 500, metabolism: 1, reproductionThreshold: 1000, size: 9, speed: 0.2, type: Bloop2
Time	Food	Creatures	Size
59700	249	65	22.23076923076923
59800	249	64	22.25
59900	246	66	22.015151515151516
60000	242	69	21.985507246376812
60100	227	74	21.93243243243243
60200	227	74	21.81081081081081
60300	223	79	21.873417721518987
60400	218	82	21.609756097560975
60500	205	83	21.674698795180724
60600	194	86	21.662790697674417
60700	189	81	21.567901234567902
60800	181	83	21.397590361445783
60900	172	81	21.506172839506174
61000	171	77	21.467532467532468
61100	172	79	21.620253164556964
61200	170	78	21.67948717948718
61300	174	74	21.60810810810811
61400	167	74	21.783783783783782
61500	173	64	22
61600	171	65	22.015384615384615
61700	174	58	22.17241379310345
61800	176	59	22.11864406779661
61900	176	54	22.203703703703702
62000	178	56	22.089285714285715
62100	176	57	21.94736842105263
62200	179	50	22.1
62300	174	53	22.11320754716981
62400	181	54	22.333333333333332
62500	193	55	22.363636363636363
62600	185	57	22.403508771929825
62700	192	47	22.27659574468085
62800	198	44	22.272727272727273
62900	200	43	22.372093023255815
63000	197	42	22.30952380952381
63100	206	44	22.431818181818183
63200	214	43	22.558139534883722
63300	219	42	22.428571428571427
63400	225	42	22.5
63500	223	39	22.564102564102566
63600	222	38	22.657894736842106
63700	236	34	22.705882352941178
63800	234	40	22.575
63900	242	40	22.825
64000	242	41	22.853658536585368
64100	250	46	22.47826086956522
64200	250	51	22.58823529411765
64300	253	54	22.48148148148148
64400	247	51	22.470588235294116
64500	258	51	22.45098039215686
64600	259	52	22.25
64700	254	58	22.17241379310345
64800	246	60	22.216666666666665
64900	242	60	22.066666666666666
65000	240	61	21.9672131147541
65100	238	61	21.885245901639344
65200	235	58	22.120689655172413
65300	228	58	22.155172413793103
65400	229	62	22.29032258064516
65500	224	64	22.390625
65600	224	64	22.4375
65700	224	61	22.524590163934427
65800	220	61	22.557377049180328
65900	216	66	22.545454545454547
66000	215	65	22.369230769230768
66100	203	70	22.65714285714286
66200	210	67	22.62686567164179
66300	209	66	22.575757575757574
66400	204	70	22.885714285714286
66500	199	70	23.042857142857144
66600	202	71	23.112676056338028
66700	204	67	22.940298507462686
66800	196	72	23.25
66900	200	69	23.492753623188406
67000	195	71	23.64788732394366
67100	199	64	23.921875
